fold,seed,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,mean_score_acquired,C_D_reference,budget_semantics,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05,group
1,42,probability_only_gain_classifier,v60_rule_or_gain,1.1,1.1,2000,367,1.1835,0.1835,-1.631836824144903e-05,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.001835,-0.009175,benign:MySQL
1,42,probability_only_gain_classifier,v60_rule_or_gain,1.1,1.1,2000,33,1.0165,0.0165,0.2960669250402231,first_temporal,exact_quota,0.49874686716791977,0.995,0.0,0,0,10,1990,2,2,0,0.0,-0.000165,-0.0008250000000000001,malware:Neris
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.1,1.1,2000,140,1.07,0.07,-2.681758423970611e-06,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.0007000000000000001,-0.0035,benign:MySQL
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.1,1.1,2000,260,1.13,0.13,0.08491815075674065,first_temporal,exact_quota,0.49824385348720523,0.993,0.0,0,0,14,1986,0,4,-4,-4.0,-4.0013,-4.0065,malware:Neris
1,42,probability_only_gain_regression,v60_rule_or_gain,1.1,1.1,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:MySQL
1,42,probability_only_gain_regression,v60_rule_or_gain,1.1,1.1,2000,400,1.2,0.2,0.02713231885783123,first_temporal,exact_quota,0.49874686716791977,0.995,0.0,0,0,10,1990,2,2,0,0.0,-0.002,-0.01,malware:Neris
1,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.1,1.1,2000,186,1.093,0.093,0.041194310326525756,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.00093,-0.0046500000000000005,benign:MySQL
1,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.1,1.1,2000,214,1.107,0.107,0.15618582561416683,first_temporal,exact_quota,0.49849548645937813,0.994,0.0,0,0,12,1988,2,4,-2,-2.0,-2.00107,-2.00535,malware:Neris
1,42,confidence_budget,v60_rule,1.25,1.25,2000,489,1.2445,0.2445,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.0024449999999999997,-0.012225000000000001,benign:MySQL
1,42,confidence_budget,v60_rule,1.25,1.25,2000,511,1.2555,0.2555,0.0,first_temporal,exact_quota,0.49849548645937813,0.994,0.0,0,0,12,1988,2,4,-2,-2.0,-2.002555,-2.012775,malware:Neris
1,42,hashrandom_budget,v60_rule,1.25,1.25,2000,524,1.262,0.262,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.00262,-0.013100000000000002,benign:MySQL
1,42,hashrandom_budget,v60_rule,1.25,1.25,2000,476,1.238,0.238,0.0,first_temporal,exact_quota,0.49849548645937813,0.994,0.0,0,0,12,1988,0,2,-2,-2.0,-2.00238,-2.0119,malware:Neris
1,42,probability_only_gain_classifier,v60_rule_or_gain,1.25,1.25,2000,963,1.4815,0.4815,-1.631836824144903e-05,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.004815000000000001,-0.024075000000000003,benign:MySQL
1,42,probability_only_gain_classifier,v60_rule_or_gain,1.25,1.25,2000,37,1.0185,0.0185,0.2640579257528216,first_temporal,exact_quota,0.49874686716791977,0.995,0.0,0,0,10,1990,2,2,0,0.0,-0.000185,-0.000925,malware:Neris
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.25,1.25,2000,422,1.211,0.211,-3.695844223210436e-06,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.00211,-0.01055,benign:MySQL
1,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.25,1.25,2000,578,1.289,0.289,0.038196432813074506,first_temporal,exact_quota,0.49824385348720523,0.993,0.0,0,0,14,1986,0,4,-4,-4.0,-4.00289,-4.01445,malware:Neris
1,42,probability_only_gain_regression,v60_rule_or_gain,1.25,1.25,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:MySQL
