method,prefix_packets,round,capture,root_seconds,residual_seconds,prefix_materialization_seconds,source_parse_seconds,temporal_feature_seconds,temporal_inference_seconds,stats_feature_seconds,stats_inference_seconds,fusion_seconds,coordination_seconds
temporal,16,2,Benign\Weibo\Weibo\Weibo-4.pcap,0.9276719,0.0036191,0.0857138,0.6905493,0.140823,0.0069667,0.0,0.0,0.0,0.0
temporal,16,2,Malware\Virut\Virut.pcap,0.8501913,0.001781,0.0781865,0.7379019,0.0242,0.0081219,0.0,0.0,0.0,0.0
stats,8,2,Benign\Weibo\Weibo\Weibo-1.pcap,0.7902305,0.0031082,0.072943,0.6999514,0.0,0.0,0.0091258,0.0051021,0.0,0.0
stats,8,2,Benign\Weibo\Weibo\Weibo-2.pcap,0.7753316,0.0022656,0.0724409,0.6884285,0.0,0.0,0.0074036,0.004793,0.0,0.0
stats,8,2,Benign\Weibo\Weibo\Weibo-3.pcap,0.8199548,0.0022701,0.0796546,0.7251025,0.0,0.0,0.0085333,0.0043943,0.0,0.0
stats,8,2,Benign\Weibo\Weibo\Weibo-4.pcap,0.7856214,0.0024012,0.0699517,0.7006842,0.0,0.0,0.0075877,0.0049966,0.0,0.0
stats,8,2,Malware\Virut\Virut.pcap,0.826221,0.0017381,0.1025715,0.7121937,0.0,0.0,0.0022985,0.0074192,0.0,0.0
stats,16,2,Benign\Weibo\Weibo\Weibo-1.pcap,0.7906139,0.0024823,0.0800067,0.6961882,0.0,0.0,0.0070535,0.0048832,0.0,0.0
stats,16,2,Benign\Weibo\Weibo\Weibo-2.pcap,0.9178958,0.0024014,0.072109,0.8308915,0.0,0.0,0.0073803,0.0051136,0.0,0.0
stats,16,2,Benign\Weibo\Weibo\Weibo-3.pcap,0.7618358,0.0028312,0.0733477,0.6721075,0.0,0.0,0.0083538,0.0051956,0.0,0.0
stats,16,2,Benign\Weibo\Weibo\Weibo-4.pcap,0.8463416,0.0023154,0.0807513,0.7514974,0.0,0.0,0.0069182,0.0048593,0.0,0.0
stats,16,2,Malware\Virut\Virut.pcap,0.867349,0.0017375,0.0779123,0.7775575,0.0,0.0,0.0021509,0.0079908,0.0,0.0
